"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"523","Just airport things... #danigoeswest #DENtoSEA #flying #unitedairlines #almostthere https://t.co/sarPEQFwlv",FALSE,0,NA,2017-12-10 17:38:10,FALSE,NA,"939912136192659457",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DaniLeySays",0,FALSE,FALSE,"-104.673738","39.855096"
"524","RT @UnitedFlyerHD: United B757-200 (N14107) with a close view of the scimitar winglets as it lines up on Houston IAH 33L
#avgeek #boeing #b",FALSE,0,NA,2017-12-10 17:29:34,FALSE,NA,"939909973236207617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ALihamxa24",27,TRUE,FALSE,NA,NA
"525","@united 5:15am Ewr to Chicago Ord check in and flight crew was amazing thank you for the customer service #greatflight #unitedairlines",FALSE,0,"united",2017-12-10 17:18:53,FALSE,NA,"939907283479334913","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","woodsfam62",0,FALSE,FALSE,NA,NA
"526","@united Globes everywhere! Taken back in the summer. #unitedairlines #unitedjourney #WeAreUnited #travel #aviation https://t.co/ErCfAeDBuM",FALSE,0,"united",2017-12-10 16:56:15,TRUE,NA,"939901588038144000","260907612","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TothRj",0,FALSE,FALSE,NA,NA
"527","RT @skygoflycom: United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/2THoOMtay3",FALSE,0,NA,2017-12-10 16:53:23,FALSE,NA,"939900865346813952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dds0201",7,TRUE,FALSE,NA,NA
"528","@AmericanAir beyond annoyed at you today. Im taking my weekly flights to #UnitedAirlines",FALSE,0,"AmericanAir",2017-12-10 16:43:28,FALSE,NA,"939898368020561920","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maryslee",0,FALSE,FALSE,NA,NA
"529","RT @essephreak: .@UnitedAirlines customer service
 #ThingsITrustMoreThanFoxNews",FALSE,0,NA,2017-12-10 16:03:51,FALSE,NA,"939888397988048896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leslidst",1,TRUE,FALSE,NA,NA
"530","Last night on my #UnitedAirlines flight, the flight attendant accidentally hit a guys elbow with the service cart https://t.co/vWWYSVqARA",FALSE,3,NA,2017-12-10 16:01:23,TRUE,NA,"939887779143544832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caglakaymaz",0,FALSE,FALSE,NA,NA
"531",".@UnitedAirlines customer service
 #ThingsITrustMoreThanFoxNews",FALSE,0,NA,2017-12-10 15:58:45,FALSE,NA,"939887116301062144",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","essephreak",1,FALSE,FALSE,NA,NA
"532","RT @herdfanjeff: Inexcusable lack off information @Aerlingus #grumpycustomer #shameful #BA @UnitedAirlines",FALSE,0,NA,2017-12-10 15:04:22,FALSE,NA,"939873428651331585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VaGrowth",3,TRUE,FALSE,NA,NA
"533","RT @herdfanjeff: Inexcusable lack off information @Aerlingus #grumpycustomer #shameful #BA @UnitedAirlines",FALSE,0,NA,2017-12-10 14:46:28,FALSE,NA,"939868924732215296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sheilabowen",3,TRUE,FALSE,NA,NA
"534","RT @herdfanjeff: Inexcusable lack off information @Aerlingus #grumpycustomer #shameful #BA @UnitedAirlines",FALSE,0,NA,2017-12-10 14:42:31,FALSE,NA,"939867931248390144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LiamFerrie",3,TRUE,FALSE,NA,NA
"535","Inexcusable lack off information @Aerlingus #grumpycustomer #shameful #BA @UnitedAirlines",FALSE,3,NA,2017-12-10 14:38:06,FALSE,NA,"939866819548139521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","herdfanjeff",3,FALSE,FALSE,NA,NA
"536","Ill get ready from now
#unitedairlines #studyabroad #planning @ Toronto, Ontario https://t.co/uPz8maBYOD",FALSE,1,NA,2017-12-10 14:28:03,FALSE,NA,"939864289963364352",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","taka____7",0,FALSE,FALSE,"-79.3407","43.7166"
"537","@UnitedAirlines just so you're aware, your on flight staff don't appreciate the gravity of an airborne nut allergy. https://t.co/vSVM7Z5jOg",FALSE,0,"UnitedAirlines",2017-12-10 13:39:46,TRUE,NA,"939852141090541569","25166595","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RavReehal",0,FALSE,FALSE,NA,NA
"538","Flights to #Belize  finally booked!!! Though it took about 8 attempts. Apparently, #UnitedAirlines consider Scotlan https://t.co/nqcOujVtJM",FALSE,0,NA,2017-12-10 13:39:15,TRUE,NA,"939852010001707008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hazeleeno",0,FALSE,FALSE,NA,NA
"539","@LondonKeyes @UnitedAirlines I've had my run in with them. Our carriers during winter are limited during winter up https://t.co/FpraqbuKRT",FALSE,0,"LondonKeyes",2017-12-10 13:31:12,TRUE,"939610125156859904","939849982927974400","22429948","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akphilthy",0,FALSE,FALSE,NA,NA
"540","@united you've misplaced my wife's bag at LHR we've been waiting ""30 mins"" for someone to fetch it for 3 hours. Fan https://t.co/XWP7z7OI4A",FALSE,0,"united",2017-12-10 13:29:15,TRUE,NA,"939849491708043266","260907612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoseTintdScrubs",0,FALSE,FALSE,NA,NA
"541","DO NOT FLY WITH @united ! Unless you want terrible customer service... or to wear the coffee #unitedAIRLINES https://t.co/Kta8ylOAAR",FALSE,0,NA,2017-12-10 12:46:28,FALSE,NA,"939838726527770624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BuzzRP",0,FALSE,FALSE,NA,NA
"542","@united your customer service is a joke... cannot speak to a human but have to fill a form out online. #BULLSHIT #unitedAIRLINES",FALSE,0,"united",2017-12-10 12:36:59,FALSE,NA,"939836339750621184","260907612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BuzzRP",0,FALSE,FALSE,NA,NA
"543","Between coffee being spilt all over me, to rude service or even walking away from a question.. @united I WILL NEVER https://t.co/rSPxouIOWG",FALSE,0,NA,2017-12-10 12:35:38,TRUE,NA,"939836001031204864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BuzzRP",0,FALSE,FALSE,NA,NA
"544","@WSJ their on board service, ironically on polaris, has noticebly declined as well.  I suspect there is a lot going https://t.co/Xf6rrnpia0",FALSE,0,"WSJ",2017-12-10 11:19:45,TRUE,"939811962191572993","939816902372704256","3108351","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AjoyMallik",0,FALSE,FALSE,NA,NA
"545","RT @UnitedFlyerHD: United B757-200 (N14107) with a close view of the scimitar winglets as it lines up on Houston IAH 33L
#avgeek #boeing #b",FALSE,0,NA,2017-12-10 11:00:52,FALSE,NA,"939812151417434112",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","takutoo8198",27,TRUE,FALSE,NA,NA
"546","RT @UnitedFlyerHD: United B757-200 (N14107) with a close view of the scimitar winglets as it lines up on Houston IAH 33L
#avgeek #boeing #b",FALSE,0,NA,2017-12-10 10:56:10,FALSE,NA,"939810970184040448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kutauzihalorove",27,TRUE,FALSE,NA,NA
"547","RT @UnitedFlyerHD: United B757-200 (N14107) with a close view of the scimitar winglets as it lines up on Houston IAH 33L
#avgeek #boeing #b",FALSE,0,NA,2017-12-10 10:35:24,FALSE,NA,"939805743007412224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","minohitoshi1969",27,TRUE,FALSE,NA,NA
"548","RT @UnitedFlyerHD: United B757-200 (N14107) with a close view of the scimitar winglets as it lines up on Houston IAH 33L
#avgeek #boeing #b",FALSE,0,NA,2017-12-10 10:01:48,FALSE,NA,"939797286955003904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KUROKEN9101",27,TRUE,FALSE,NA,NA
"549","RT @skygoflycom: United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/2THoOMtay3",FALSE,0,NA,2017-12-10 09:47:42,FALSE,NA,"939793739085578240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BADTZMARU16331",7,TRUE,FALSE,NA,NA
"550","Meal Service...

#Paris #France #TheosTravel #TeamDifferenceMakers #unitedairlines https://t.co/qGZfwXzaQm",FALSE,0,NA,2017-12-10 07:58:08,FALSE,NA,"939766164405800960",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheosTravel",0,FALSE,FALSE,"2.5415905","49.01480263"
"551","RT @LondonKeyes: @BlackBeard52586 @UnitedAirlines Hahaha one day possibly",FALSE,0,NA,2017-12-10 05:53:04,FALSE,NA,"939734689253920768",NA,"<a href=""http://www.google.com"" rel=""nofollow"">merrie_rothApplicationABC1</a>","merrie_roth",1,TRUE,FALSE,NA,NA
"552","RT @LondonKeyes: @Laser_KSG @UnitedAirlines @united @Delta It always surprises me when people are in the service industry but are completel",FALSE,0,NA,2017-12-10 04:49:04,FALSE,NA,"939718585735266305",NA,"<a href=""http://www.google.com"" rel=""nofollow"">sephoraah2ApplicationABC1</a>","sephoraah2",1,TRUE,FALSE,NA,NA
"553","@Delta flight AM5296 has to leave yet AT LEAST.  3+ hours at the tarmac between connectin flight AM5010 and  AM5296 https://t.co/wed0JI4iFb",FALSE,0,"Delta",2017-12-10 04:46:11,TRUE,NA,"939717858455670785","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hef_Tee",0,FALSE,FALSE,NA,NA
"554","2017.12.8 #unitedairlines flight 876 nonstop service from Haneda, #tokyo to Terminalhttps://www.instagram.com/p/BcgizB5Ahmi/",FALSE,1,NA,2017-12-10 04:35:06,FALSE,NA,"939715071411765248",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cytz",0,FALSE,FALSE,"139.76898909","35.54497248"
"555","Sleeping in the gate tonight because United in New Jersey doesn't have any more rooms.
I lost my flight to St. Loui https://t.co/c9BXfoR8BR",FALSE,2,NA,2017-12-10 04:30:44,TRUE,NA,"939713970692329472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scitty_kitty",0,FALSE,FALSE,NA,NA
"556","RT @DeltaWorking4UA: SFO #FantasyFlight to the North Pole!! Say hi to Santa for us!! @weareunited #beingunited #whyiloveao #UnitedProud #Un",FALSE,0,NA,2017-12-10 04:29:04,FALSE,NA,"939713550557224960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SfoBusiness",3,TRUE,FALSE,NA,NA
"557","#bucketlist Installed @ubuntu server at 30,000 ft. thanks to #UnitedAirlines' 20mbit connection (with full ISO download). Neat :-)",FALSE,0,NA,2017-12-10 04:23:25,FALSE,NA,"939712129686532097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stevesperandeo",0,FALSE,FALSE,NA,NA
"558","RT @UnitedFlyerHD: United B777-200ER N76010 lining up on Houston IAH 33L
#Avgeek #unitedairlines #boeing #Boeing777 https://t.co/VICSVgTfw1",FALSE,0,NA,2017-12-10 03:56:30,FALSE,NA,"939705356699230208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlejoRojasCont3",24,TRUE,FALSE,NA,NA
"559","RT @anotherspaniel: For these kids, #Santa and a flight to the #NorthPole was just 20 minutes away https://t.co/T24eLsqpj6 #GoodNews What a",FALSE,0,NA,2017-12-10 03:42:27,FALSE,NA,"939701821236490240",NA,"<a href=""https://www.google.de/"" rel=""nofollow"">bot4goodnews</a>","bot4goodnews",1,TRUE,FALSE,NA,NA
"560","Spending the night in Newark NJ. My #unitedAIRLINES flight is at the gate. As is the one after the one I booked. Un https://t.co/JKWfncBTI5",FALSE,1,NA,2017-12-10 03:36:05,TRUE,NA,"939700219062685696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JimSull19",0,FALSE,FALSE,NA,NA
"561","For these kids, #Santa and a flight to the #NorthPole was just 20 minutes away https://t.co/T24eLsqpj6 #GoodNews Wh https://t.co/i7VLQCquYB",FALSE,0,NA,2017-12-10 03:28:55,TRUE,NA,"939698414023053312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anotherspaniel",1,FALSE,FALSE,NA,NA
"562","Flyin over Colorado. 
#travel #unitedairlines #goingbackhome #mountains #sky #clouds https://t.co/e3AT3uhAw0",FALSE,0,NA,2017-12-10 03:19:30,FALSE,NA,"939696044023132161",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","threadbareblog",0,FALSE,FALSE,NA,NA
"563","@united your arrivals area at EWR is an absolute nightmare. After 10+ hours of delayed travel Id expect your emplo https://t.co/0NMOTdo1g9",FALSE,0,"united",2017-12-10 03:15:22,TRUE,NA,"939695002749493248","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarasfriends33",0,FALSE,FALSE,NA,NA
"564","@UnitedAirlines Its tough to leave family this time of year, thanks for the Christmas cheer United. You guys do a https://t.co/26r90PaZOA",FALSE,0,"UnitedAirlines",2017-12-10 03:05:42,TRUE,NA,"939692572473221120","25166595","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonJablecki",0,FALSE,FALSE,NA,NA
"565","@LondonKeyes @MissSaintXXX @UnitedAirlines @united That shouldn't be a problem all you have to do is refer to the f https://t.co/mPsbOqQnUx",FALSE,0,"LondonKeyes",2017-12-10 02:56:50,TRUE,"939619196765323264","939690339425689600","22429948","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fd3a33139446498",0,FALSE,FALSE,NA,NA
"566","RT @LondonKeyes: @jakew1967 @UnitedAirlines Terrible staff! I will never fly them again! Will post the voice recording from the @united sta",FALSE,0,NA,2017-12-10 02:56:30,FALSE,NA,"939690256345034757",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jakew1967",3,TRUE,FALSE,NA,NA
"567","@LondonKeyes @UnitedAirlines I understand that. The last time I feel United was about 10 years ago. Terrible servic https://t.co/QpJp1lSHjy",FALSE,1,"LondonKeyes",2017-12-10 02:56:01,TRUE,"939610125156859904","939690134093443072","22429948","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fd3a33139446498",0,FALSE,FALSE,NA,NA
"568","what flying with @united looks like #unitedairlines customer service lineThis Christmas don't choose #united https://t.co/7CSWyb6pf0",FALSE,0,NA,2017-12-10 02:49:56,FALSE,NA,"939688605034930176",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","NoemigMontes",0,FALSE,FALSE,NA,NA
"569","RT @NoemigMontes: @united pilot from flight UA51 (EWR-MAD) doesn't wait 5 minutes to close the door of an international flight leaving 8 pe",FALSE,0,NA,2017-12-10 02:35:20,FALSE,NA,"939684930522701824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trrafa2001",2,TRUE,FALSE,NA,NA
"570","RT @NoemigMontes: @united pilot from flight UA51 (EWR-MAD) doesn't wait 5 minutes to close the door of an international flight leaving 8 pe",FALSE,0,NA,2017-12-10 02:33:35,FALSE,NA,"939684488988291072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","NoemigMontes",2,TRUE,FALSE,NA,NA
"571","@united pilot from flight UA51 (EWR-MAD) doesn't wait 5 minutes to close the door of an international flight leavin https://t.co/bq8zvGnJ3d",FALSE,2,"united",2017-12-10 02:28:48,TRUE,NA,"939683284841324545","260907612","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","NoemigMontes",2,FALSE,FALSE,NA,NA
"572","RT @UnitedFlyerHD: United B777-200ER N76010 lining up on Houston IAH 33L
#Avgeek #unitedairlines #boeing #Boeing777 https://t.co/VICSVgTfw1",FALSE,0,NA,2017-12-10 02:24:18,FALSE,NA,"939682155122315265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rolyb727",24,TRUE,FALSE,NA,NA
"573","Houston, Texas to Miami (and vice versa) for only $80 roundtrip with United. #UnitedAirlines #Houston https://t.co/T7WGLurCgw",FALSE,0,NA,2017-12-10 02:18:03,FALSE,NA,"939680582543577089",NA,"<a href=""https://milesreport.com/"" rel=""nofollow"">Miles Deals</a>","MilesDeals",0,FALSE,FALSE,NA,NA
"574","@LondonKeyes @UnitedAirlines Been there don't fly them anymore either, emirates is the best I've flown",FALSE,0,"LondonKeyes",2017-12-10 02:17:12,FALSE,"939610125156859904","939680366725685248","22429948","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","99Aminus",0,FALSE,FALSE,NA,NA
"575","RT @skygoflycom: United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/2THoOMtay3",FALSE,0,NA,2017-12-10 02:11:58,FALSE,NA,"939679051677126658",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","CuencaVicente",7,TRUE,FALSE,NA,NA
"576","The Marta does not even run before 6am! Are you paying for my inevitably surcharge priced Uber to the airport? This https://t.co/k19NBG9i6N",FALSE,0,NA,2017-12-10 02:03:05,TRUE,NA,"939676814175293440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ennywho",0,FALSE,FALSE,NA,NA
"577","United Airlines. Not so friendly. Grounded for weather as other planes taxi and take off...No flight. No room. No b https://t.co/LnBG5hvhlA",FALSE,0,NA,2017-12-10 01:57:40,TRUE,NA,"939675450980360192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikemccann55",0,FALSE,FALSE,NA,NA
"578","13hrs is not a delay! It's a cancellation!@united #unitedAIRLINES",FALSE,0,NA,2017-12-10 01:56:16,FALSE,NA,"939675099741020167",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ennywho",0,FALSE,FALSE,NA,NA
"579","RT @skygoflycom: United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/2THoOMtay3",FALSE,0,NA,2017-12-10 01:52:17,FALSE,NA,"939674095419084800",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","edelweiss330",7,TRUE,FALSE,NA,NA
"580","RT @skygoflycom: United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/2THoOMtay3",FALSE,0,NA,2017-12-10 01:46:30,FALSE,NA,"939672642226880512",NA,"<a href=""http://www.planespottingiscool.com"" rel=""nofollow"">PlaneSpotterRetweet</a>","PlaneSpotIsCool",7,TRUE,FALSE,NA,NA
"581","A 13hr delay? Really, you have got to be kidding me? School closed at 12pm and now I'm stranded. Over it and over @united #unitedAIRLINES",FALSE,0,NA,2017-12-10 01:45:52,FALSE,NA,"939672481153142784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ennywho",0,FALSE,FALSE,NA,NA
"582","United Star Alliance 'Queen' #unitedairlines #boeing #747 #queenoftheskies #planespotting #dontgo https://t.co/P0tKGnL7UO",FALSE,12,NA,2017-12-10 01:45:17,TRUE,NA,"939672336311181312",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","skygoflycom",7,FALSE,FALSE,NA,NA
"583","It's very typical for loony professors having oversized posters. For this holiday seasons, #UnitedAirlines has some https://t.co/Wr6AR6h0Y6",FALSE,1,NA,2017-12-10 01:32:23,TRUE,NA,"939669088749494272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siusunchun",0,FALSE,FALSE,NA,NA
